species,province,occurrences_in_province_2023
Geopelia striata,Ilocos Sur,5
Geopelia striata,Iloilo,79
Geopelia striata,Isabela,3
Geopelia striata,Kalinga,1
Geopelia striata,La Union,18
Geopelia striata,Laguna,125
Geopelia striata,Lanao del Norte,6
Geopelia striata,Leyte,26
Geopelia striata,Maguindanao,143
Geopelia striata,Marinduque,4
Geopelia striata,Masbate,22
Geopelia striata,Metro Manila,1
Geopelia striata,Metropolitan Manila,13
Geopelia striata,Misamis Occidental,4
Geopelia striata,Misamis Oriental,9
Geopelia striata,National Capital Region (Manila),1107
Geopelia striata,Negros Occidental,184
Geopelia striata,Negros Oriental,110
Geopelia striata,Northern Samar,2
Geopelia striata,Nueva Ecija,13
Geopelia striata,Nueva Vizcaya,1
Geopelia striata,Occidental Mindoro,7
Geopelia striata,Oriental Mindoro,1
Geopelia striata,Palawan,279
Geopelia striata,Pampanga,109
Geopelia striata,Pangasinan,34
Geopelia striata,Quezon,17
Geopelia striata,Rizal,277
Geopelia striata,Romblon,7
Geopelia striata,Sarangani,5
Geopelia striata,Siquijor,20
Geopelia striata,Sorsogon,80
Geopelia striata,South Cotabato,16
Geopelia striata,Southern Leyte,1
Geopelia striata,Sultan Kudarat,13
Geopelia striata,Surigao del Norte,23
Geopelia striata,Surigao del Sur,7
Geopelia striata,Tarlac,43
Geopelia striata,Tawi-Tawi,2
Geopelia striata,Zambales,16
Geopelia striata,Zamboanga del Norte,1
Geopelia striata,Zamboanga del Sur,71
Hirundo tahitica,Agusan del Norte,6
Hirundo tahitica,Agusan del Sur,8
Hirundo tahitica,Aklan,18
Hirundo tahitica,Albay,7
Hirundo tahitica,Antique,24
Hirundo tahitica,Aurora,25
Hirundo tahitica,Bataan,76
Hirundo tahitica,Batanes,384
Hirundo tahitica,Batangas,57
Hirundo tahitica,Benguet,21
Hirundo tahitica,Bohol,132
Hirundo tahitica,Bukidnon,30
Hirundo tahitica,Bulacan,53
Hirundo tahitica,Cagayan,13
Hirundo tahitica,Camarines Sur,36
Hirundo tahitica,Camiguin,13
Hirundo tahitica,Capiz,3
Hirundo tahitica,Cavite,153
Hirundo tahitica,Cebu,89
Hirundo tahitica,Compostela Valley,13
Hirundo tahitica,Cotabato,5
Hirundo tahitica,Davao Occidental,2
Hirundo tahitica,Davao Oriental,2
Hirundo tahitica,Davao del Norte,11
Hirundo tahitica,Davao del Sur,89
Hirundo tahitica,Eastern Samar,4
Hirundo tahitica,Guimaras,4
Hirundo tahitica,Ifugao,27
Hirundo tahitica,Ilocos Norte,11
Hirundo tahitica,Ilocos Sur,2
Hirundo tahitica,Iloilo,53
Hirundo tahitica,Isabela,2
Hirundo tahitica,La Union,12
Hirundo tahitica,Laguna,196
Hirundo tahitica,Lanao del Norte,2
Hirundo tahitica,Leyte,19
Hirundo tahitica,Maguindanao,81
Hirundo tahitica,Masbate,24
Hirundo tahitica,Misamis Occidental,1
Hirundo tahitica,Misamis Oriental,5
Hirundo tahitica,Mountain Province,1
Hirundo tahitica,National Capital Region (Manila),878
Hirundo tahitica,Negros Occidental,133
Hirundo tahitica,Negros Oriental,32
Hirundo tahitica,Northern Samar,4
Hirundo tahitica,Nueva Ecija,5
Hirundo tahitica,Nueva Vizcaya,5
Hirundo tahitica,Occidental Mindoro,10
Hirundo tahitica,Oriental Mindoro,11
Hirundo tahitica,Palawan,229
Hirundo tahitica,Pampanga,94
Hirundo tahitica,Pangasinan,42
Hirundo tahitica,Quezon,150
Hirundo tahitica,Quirino,2
Hirundo tahitica,Rizal,143
Hirundo tahitica,Romblon,6
Hirundo tahitica,Samar,6
Hirundo tahitica,Sarangani,10
Hirundo tahitica,Siquijor,11
Hirundo tahitica,Sorsogon,44
Hirundo tahitica,South Cotabato,16
Hirundo tahitica,Southern Leyte,3
Hirundo tahitica,Sultan Kudarat,10
Hirundo tahitica,Surigao del Norte,33
Hirundo tahitica,Surigao del Sur,13
Hirundo tahitica,Tarlac,17
Hirundo tahitica,Tawi-Tawi,2
Hirundo tahitica,Zambales,17
Hirundo tahitica,Zamboanga del Norte,1
Hirundo tahitica,Zamboanga del Sur,45
Lanius cristatus,Abra,5
Lanius cristatus,Agusan del Norte,5
Lanius cristatus,Agusan del Sur,52
Lanius cristatus,Aklan,18
Lanius cristatus,Albay,17
Lanius cristatus,Antique,42
Lanius cristatus,Aurora,18
Lanius cristatus,Bataan,243
Lanius cristatus,Batanes,803
Lanius cristatus,Batangas,42
Lanius cristatus,Benguet,33
Lanius cristatus,Bohol,60
Lanius cristatus,Bukidnon,67
Lanius cristatus,Bulacan,70
Lanius cristatus,Cagayan,9
Lanius cristatus,Camarines Sur,31
Lanius cristatus,Camiguin,28
Lanius cristatus,Capiz,1
Lanius cristatus,Cavite,116
Lanius cristatus,Cebu,110
Lanius cristatus,Compostela Valley,17
Lanius cristatus,Cotabato,7
